,,,中文翻譯,日文翻譯,捷克文翻譯,英文例句,日文例句,捷克文例句,中文翻譯
linguistic uses,propositional uses,myth,神話、迷思,神話、,mýtus,"To someone lacking in confidence, and sensitive about their weight and body shape-and let’s face it, many women channel their insecurities into that very area, responding to the myth that successful women are slim and good-looking- the idea of having your cake, eating it and not paying the price in pounds of flesh may seem appealing. (p.147) ",自信がなく、自分の体重や体型に敏感な人（正直に言うと、多くの女性は、成功する女性はスリムで容姿端麗であるという神話に基づいて、自分の不安をその部分に向けている）にとっては、ケーキを食べても、その代償を体重で払わなくて済むというアイデアは魅力的に映るかもしれない。," Pro někoho, kdo si nevěří a uvědomuje si svou váhu a tvar svého těla - a přiznejme si, že mnoho žen směruje svou nejistotu právě do této oblasti a reaguje na mýtus, že úspěšné ženy jsou štíhlé a dobře vypadající - myšlenka, že můžeš snist, co chceš,  a nezaplatit za to cenu v kilogramech zvýšené váhy, se může zdát lákavé. (str. 147) ",對於缺乏自信、在乎自己體重高低以及體態的人而言，應該接受自己最真實的體態。許多女性對自己的身材缺少安全感，且認同成功的女性同時具備苗條身材與亮麗外表的迷思。能盡情享用蛋糕而不用擔心付出體重上升的代價，這樣的想法似乎相當有吸引力。
linguistic uses,propositional uses,legend,傳說、傳奇、神話,,,,,,
linguistic uses,propositional uses,law,法律,,,,,,
linguistic uses,propositional uses,formula,配方、公式,,,,,,
linguistic uses,propositional uses,teaching,學說、教義、主義,,,,,,
linguistic uses,propositional uses,dictum,格言,,,,,,
linguistic uses,propositional uses,legacy,遺產,,,,,,
linguistic uses,propositional uses,maxim,格言、基本原理,,,,,,
linguistic uses,propositional uses,cliche,陳腔濫調,,,,,,
linguistic uses,propositional uses,truism,不言而喻,,,,,,
linguistic uses,propositional uses,stereotype,刻板印象、成見,,,,,,
linguistic uses,propositional uses,slogan,口號,,,,,,
linguistic uses,propositional uses,dogma,教義、教條,,,,,,
linguistic uses,propositional uses,metaphor,隱喻,,,,,,
linguistic uses,propositional uses,credo,信念、教義,,,,,,
linguistic uses,propositional uses,motto,座右銘,,,,,,
linguistic uses,propositional uses,orthodoxy,正統,,,,,,
linguistic uses,propositional uses,tenet,宗旨、原則,,,,,,
linguistic uses,propositional uses,axiom,公理、原則,,,,,,
linguistic uses,propositional uses,doctrine,教義,,,,,,
linguistic uses,illocutionary uses,statement,聲明、回答,言葉,prohlášení,"‘’Thanks, Aida, and I must say it’s nice to see all of you again,’’ Nell responded, and she smiled warmly at Fanny and Val, including them in this statement. (p.155) ",「ありがとう、アイーダ、そしてまたお会いできてうれしいです」とネルは答え、ファニーとヴァルに温かく微笑んで、その言葉を受け止めた。,"„Díky, Aido, a musím říct, že je hezké vás všechny znovu vidět,“ odpověděla Nella a vřele se usmála na Fanny a Val, a zahrnula je v tomto prohlášení. (str. 155)",「謝謝你Aida，然後我得說，我真的很高興能看見各位，」做出這句回答的同時，Nell給了Fanny和Val一個溫暖的笑容。
linguistic uses,illocutionary uses,account,帳戶、報告、記述,,,,,,
linguistic uses,illocutionary uses,assertion,斷言,,,,,,
linguistic uses,illocutionary uses,observation,觀察、觀測,観察,příměrem,He could only point Thomas’s absence and the ageless observation that football is a funny old game. (p.155), 彼はトーマスの不在に対して、「フットボールは面白くて古いゲームだ」という不朽の観察で応えるしかなかった。," Mohl jen reagovat na Thomasovu nepřítomnost s nestárnoucí příměrem, že fotbal je stará legrační hra. (str. 155) ",他只能指出Thomas的缺席，並提出足球是個有趣的古老遊戲這樣歷久不衰的觀察。
linguistic uses,illocutionary uses,proclamation,公告、宣言、聲明,,oznámením,,,"Povzbudivá zpráva z Jockey Clubu, že v loňské sezóně byly překonány rekordy, a to jak v počtu koní, kterým byly uděleny lovecká osvědčení, tak v počtu běžců účastnících v závodu mezi dvěma body, byla o víkendu utlumena oznámením, že skupina RMC se vzdává sponzorství tohoto sportu. (str.156) ",
linguistic uses,illocutionary uses,announcement,宣告、聲明,声明、発表,příměrem,"The encouraging news from the Jockey Club that records were broken last season, both in the number of horses granted hunter certificates and runners taking part in point-to-points, was dampened at the weekend with the announcement that the RMC group is giving up its sponsorship of the sport. (p.156) ",昨シーズン、ハンターライセンスを取得した馬の数とポイント・トゥー・ポイントに参加した出走馬の数の両方で記録が更新されたというジョッキークラブからの明るいニュースも、週末にはRMCグループがこのスポーツのスポンサーシップを放棄するという発表で、暗澹たる気持ちにさせられました。," Mohl jen reagovat na Thomasovu nepřítomnost s nestárnoucí příměrem, že fotbal je stará legrační hra. (str. 155) ",賽馬會發佈了一則鼓舞人心的消息，上個賽季無論是獲得獵人證書的馬匹數量或是參加點對點的賽跑者的數量都打破了歷史記錄。但這樣的好消息卻被周末RMC集團的聲明給打消， 表示他們將取消贊助這項運動。
linguistic uses,illocutionary uses,notification,通知、通告、告示,,,,,,
linguistic uses,illocutionary uses,decree,法令、命令,,,,,,
linguistic uses,assertive uses,argument,爭執、爭議,,,,,,
linguistic uses,assertive uses,affirmation,斷言、確定、肯定,,,,,,
linguistic uses,assertive uses,concession,讓不、妥協,,,,,,
linguistic uses,assertive uses,counterclaim,反訴、反請求,,,,,,
linguistic uses,assertive uses,justification,理由,,,,,,
linguistic uses,assertive uses,reaction,反應,,,,,,
linguistic uses,assertive uses,report,報導、報告,,,,,,
linguistic uses,assertive uses,explanation,說明、解釋,,,,,,
linguistic uses,assertive uses,version,版本、說法,,,,,,
linguistic uses,assertive uses,tale,故事,,,,,,
linguistic uses,assertive uses,account,帳戶、戶口,,,,,,
linguistic uses,assertive uses,story,故事、新聞,,,,,,
linguistic uses,assertive uses,prediction,預測、預言,,,,,,
linguistic uses,assertive uses,bet,賭注、打賭,予想,,The Champion Hurdle at the Festival meeting is the target for the super tough Danoli this time round and he looks an interesting proposition at 6-1 in Corals’ early betting. – My bet is that he’ll go off a fraction of those odds on the day. (p.162) ,今回、超タフなダノリが狙うのはフェスティバル・ミーティングのチャンピオン・ハードルで、コーラルズの初期のベッティングでは6-1という興味深い提案となっている。私の予想では、当日はこのオッズの何分の一かの確率でゴールする。,"Závod Champion Hurdle na Festivalu je tentokrát hlavním cílem vynikajícího Danoliho a v prvních sázkách na Corals vypadá zajímavá sázka při poměru 6: 1. - Myslím, že v den závodu to bude jen zlomek těchto kurzů. (str. 162)",節日會議上的冠軍跨欄賽是本輪超級強悍的達諾利的目標，在珊瑚隊的早期投注中，他以 6-1 的比分，看起來是一個有趣的賭注提議。 - 我敢打賭，他當天的賠率中會減少一點。
linguistic uses,assertive uses,betting,打賭、賭博,,,,,,
linguistic uses,assertive uses,forecast,預報、預估,,,,,,
linguistic uses,assertive uses,prophecy,預言,,,,,,
linguistic uses,assertive uses,prognosis,預測、展望,,,,,,
linguistic uses,assertive uses,guess,猜、猜測,推測,odhadu,To my guess would be that er people are going to renew their interests and er we will see erm a serious pressure from that particular source..(p.202),私の推測では、人々は彼らの興味を新たにするだろうし、私たちはその特定の情報源からの深刻な圧力を目にするだろう。," Podle mého odhadu to bude tak, že lidé znovu projeví svůj zájmem a že uvidíme silný tlak z tohoto konkrétního zdroje. (Str.202) ",據我的猜測，人們將會有新的興趣，然後我們將會看到從那個特定來源所產生的巨大壓力。
linguistic uses,assertive uses,claim,聲明、說法,主張,tvrzení,"...debate about Maastricht. The rest of Europe, they tell us, has not matched up to us and would have avoided many of their own domestic political embarrassments had they done so. There may once have been a certain justice in this claim. (p.162)",ヨーロッパの他の国々は、私たちに匹敵するものを持っておらず、そうしていれば自国の政治的な問題の多くを回避できただろう、と彼らは言う。この主張には、かつてはある種の正義感があったかもしれない。,"... debata o Maastrichtu. Zbytek Evropy, jak nám říkají, že se s námi neshodoval a byl by se vyhnul mnoha svým vlastním domácím politickým trapasům, kdyby to udělali. Toto tvrzení mohlo být dříve oprávněné. (str. 162) ",關於Maastricht的辯論，大部分的歐洲人沒有一致說法，因為如果他們這樣做就可以避免與自己國內政治立場衝突的尷尬。這種說法可能曾具有一定程度的正義性。
linguistic uses,assertive uses,suggestion,建議、建言,,,,,,
linguistic uses,assertive uses,hint,暗示,,,,,,
linguistic uses,assertive uses,assessment,評估、評價,,,,,,
linguistic uses,assertive uses,allegation,指責、指控,,,,,,
linguistic uses,assertive uses,contention,爭論、紛爭,,,,,,
linguistic uses,assertive uses,verdict,判決、決定,意見、判定,verdiktem,"I WOULD disagree with verdict that Mick Jagger’s brainchild National Music Day, was a ‘flop’. (p.164) ",ミック・ジャガーが発案した「National Music Day」が「失敗した」という意見には同意しかねる。,"Nesouhlasil bych s verdiktem, že National Music Day, nápad Micka Jaggera, byl „propadák“. (str.164) ",我反對這項將Mick Jagger的國家音樂日視為失敗案例的判決。
linguistic uses,assertive uses,judgement,判斷、識別,,,,,,
linguistic uses,assertive uses,assessment,評估、估價,,,,,,
linguistic uses,assertive uses,disclosure,公開、揭露,,,,,,
linguistic uses,assertive uses,revelation,暴露、揭示,発覚、新事実、～が明らかになる,odhaleno,"Then, with the revelation in 1953 that the remains were a fake, the story became a real whodunnit. (p.164)",そして、1953年に遺骨が偽物であることが明らかになり、物語は本格的な推理小説となった。／そして、1953年に遺骨が偽物であったという新事実により、物語は本格的な推理小説となった。,"Poté, co bylo v roce 1953 odhaleno, že pozůstatky byly falešné, se příběh stal skutečnou detektivkou. (str.164) ",這些遺址在1953年時被揭露出是假的後，這個故事隨之成為另一項謎團。
linguistic uses,assertive uses,lie,謊話,嘘,lež,Tories said the news ‘’nailed the lie’’ that Britain was suffering alone. (p.166),このニュースは、英国が孤独に苦しんでいるという「嘘」に釘を刺したものだと、理論派は述べている。,"Toryové prohlásili, že zprávy „odhlalily lež“, že Británie trpí sama. (str. 166) ",保守黨指出，新聞輕易的編了出來英國正在獨自受苦的謊言
linguistic uses,assertive uses,distortion,歪曲、曲解,,,,,,
linguistic uses,assertive uses,pretext,藉口,,,,,,
linguistic uses,rogative uses ,question,問題,疑問、疑い,,I rejected this firmly: it is beyond question that they must behave professionally and use reasonable care. (p.167),私はこれを断固として拒否しました。彼らがプロフェッショナルとして行動し、合理的な注意を払わなければならないことは疑いの余地がありません。,"Rozhodně jsem to odmítl: je nepochybné, že se musí chovat profesionálně a používat přiměřenou péči. (str. 167)","我嚴厲地拒絕,他們必須表現出專業並且提供合理的護理，這是無庸置疑的。"
linguistic uses,rogative uses ,query,疑問、問題,,,,,,
linguistic uses,directive uses,order,訂單、順序,,,,,,
linguistic uses,directive uses,demand,要求、請求,要求,požadavkem,...the government side would not agree to the demonstrator’s demand that cameras be allowed into the meeting to film the event. (p.172),...政府側は、「会議の様子を撮影するためにカメラを入れること」というデモ参加者の要求に応じなかった。," ... vládní strana by nesouhlasila s požadavkem demonstrantů, aby byly na schůzi povoleny kamery, které by tuto událost natáčely. (str.172)",...政府方不應該同意示威者的要求，而允許照相機進入會議中拍攝該事件。
linguistic uses,directive uses,call,需求、呼籲,,,,,,
linguistic uses,directive uses,motion,提議,,,,,,
linguistic uses,directive uses,injunction,禁令,,,,,,
linguistic uses,directive uses,instruction,指令、命令、指導,,,,,,
linguistic uses,directive uses,request,要求、講求,,,,,,
linguistic uses,directive uses,command,指揮、指令,,,,,,
linguistic uses,directive uses,directive,指令、命令,,,,,,
linguistic uses,directive uses,invitation,邀請、邀約,招待,pozvání,Mr Gorbachov had to work hard to get his invitation to address the Group of Seven leaders. (p.174),ゴルバチョフ氏は、7カ国首脳会議への招待を受けるのに苦労した。," Pan Gorbachov musel tvrdě pracovat, aby dostal pozvání promluvit ke skupině sedmi vůdců. (str. 174)",Gorbachov先生必須努力工作才有可能得到七人領導小組的邀請。
linguistic uses,directive uses,plea,懇求、請求,,,,,,
linguistic uses,directive uses,application,申請、請求,,,,,,
linguistic uses,directive uses,petition,請願,,,,,,
linguistic uses,directive uses,appeal,呼籲、求助,,,,,,
linguistic uses,directive uses,advice,建議、諮詢,アドバイス、,radou,[But don’t forget to inform your waitress that you don’t want eggs in your dishes. You will never miss them in your sukiyaki.] The only other advice is to avoid the soya-sauce container on the table. (p.175),[でも、食事に卵を加えたくないことをウェイトレスに必ず知らせてください。いつもすき焼きに入れます。] ほかのアドバイスとしては、テーブルの上の醤油入れを避けることくらいでしょうか。," [Nezapomeňte však informovat svou servírku, že nechcete, aby vám do jídel byla přidána vejce. Ve vašem sukiyaki je vždy dostanete.] Jedinou další radou je vyhnout se lahvičce se sójovou omáčkou na stole. (str.175) ",但是別忘了告訴服務生你不想在餐裏面加蛋，因為在壽喜燒裡一定會有蛋。剩下的唯一建議是別將醬油容器放在桌子上。
linguistic uses,directive uses,tip,指點、指導,,,,,,
linguistic uses,directive uses,recommendation,推薦、推甄、建議,,,,,,
linguistic uses,directive uses,suggestion,建議、建言,提案,návrh,...response to John Major’s suggestion that people should write into Downing Street...(p.176),...「ダウニング街に手紙を出してはどうか」というジョン・メイジャーの提案に対する返事である。,"... reakce na návrh Johna Majora, aby lidé psali do Downing Street ... (str. 176)",...這回應了John Major認為人們應該寫信到英國政府的建議...
linguistic uses,directive uses,proposition,提議、建議、主張,提案、意見,,,,,
linguistic uses,directive uses,proposal,提案、建議、計畫,,,,,,
linguistic uses,commissive uses,offer,提議、工作機會,オファー、申し出,nabídku,"He rejected roles in such blockbusters as Die Hard, Alien 3 and Patriot Games and turn down a million-dollar offer to play the villain in Lethal Weapon 3 in order to concentrate on his own production. (p.177)",「ダイ・ハード」、「エイリアン3」、「パトリオット・ゲーム」などの大作への出演を拒否し、「リーサル・ウェポン3」の悪役を演じる100万ドルのオファーも断って、自分の製作に専念したのである。," Odmítl role ve filmových trhácích jako Die Hard, Alien 3 a Patriot Games a odmítl milionovou nabídku hrát darebáka v Lethal Weapon 3, aby se mohl soustředit na vlastní produkci. (str. 177) ",他拒絕了出演《虎膽龍威》、《異形3》和《愛國者遊戲》等大片中的角色，也拒絕了在《致命武器3》中扮演反派的百萬美元工作機會，以便專注於自己的製作。 
linguistic uses,commissive uses,bid,出價、投標,,,,,,
linguistic uses,commissive uses,promise,承諾、答應,約束、誓約,slib,The new Home Secretary has welshed on his predecessor’s promise to provide a police authority for London. (p.178) ,新任の内務大臣は、ロンドンに警察当局を設置するという前任者の約束を反故にした。,Nový ministr vnitra neslnil slib svého předchůdce poskytnout policejní pravomoce pro Londýn. (str. 178),新上任的內政大臣兌現了前任大臣的承諾，提供倫敦警方維持治安的權力。
linguistic uses,commissive uses,commitment,諾言、保證,,,,,,
linguistic uses,commissive uses,guarantee,保證、擔保,,,,,,
linguistic uses,commissive uses,assurance,保證、把握,,,,,,
linguistic uses,commissive uses,undertaking,工作、任務、承諾,,,,,,
linguistic uses,commissive uses,vow,誓言、誓約,,,,,,
linguistic uses,commissive uses,pledge,承諾、諾言、誓言,,,,,,
linguistic uses,commissive uses,oath,宣誓、誓言,,,,,,
linguistic uses,commissive uses,threat,威脅、危機,脅威、脅かし,hrozbě,"Of the two chief whaling nations, Norway is adamant in its threat to hunt the migratory minke whale...in the northern Atlantic.(p.180)",2大捕鯨国のうち、ノルウェーは大西洋北部で回遊性のミンククジラを捕獲するという脅威に固執している。, Ze dvou hlavních velrybářských zemí je Norsko neústupné ve své hrozbě lovit stěhovavou minke velrybu ... v severním Atlantiku. (Str.180) ,兩個主要捕鯨國中之一的挪威堅決威脅要捕殺北大西洋中遷徙的小鬚鯨。
linguistic uses,commissive uses,warning,警訊、預警、警告,警告,,The Association will give a warning that poll tax bills in some Conservative districts will exceed government guidelines unless they receive a higher proportion of the money being made available to local authorities. (p.135),協会は、一部の保守党選挙区では地方自治体が利用できるかなりのお金を受け取らないと、人頭税法案が政府のガイドラインを超えるだろうという警告を出すだろう。,"Asociace varuje, že pokud nedostanou vyšší podíl peněz poskytnutých místním úřadům, překročí účty za daň z hlavy v některých konzervativních okresech vládní směrnice, . (str.135) ",該協會將發出警告：除非一些保守派地區能收到比起提供給地方當局更高比例的資金，否則他們的人頭稅額將超過政府的標準，
linguistic uses,commissive uses,caveat,警告、告誡,,,,,,
linguistic uses,expressive uses,complaint,抱怨、申訴,不満,představa,Visa’s complaint that the report failed to deal adequately with certain questions was no basis for invalidating its findings. (p.181),"
報告書が特定の質問に適切に対処できなかったというVisaの不満は、報告書の結果を無効にする根拠とはなりません。
","Jejich představa o nebi je najít v těle molekulu, která způsobuje některé z potíží, a přijít na to, co dělá špatně.p.191)",Visa 抱怨該報告未能充分處理某些問題，但這並不能證明其調查結果無效。
linguistic uses,expressive uses,grievance,委屈、抱怨、牢騷,,,,,,
linguistic uses,expressive uses,gripe,抱怨、怨言、牢騷,,,,,,
linguistic uses,expressive uses,quibble,抱怨,,,,,,
linguistic uses,expressive uses,whinge,抱怨,,,,,,
linguistic uses,expressive uses,grumble,抱怨、牢騷,,,,,,
linguistic uses,expressive uses,compliment,讚譽、恭維、稱讚,,,,,,
linguistic uses,expressive uses,excuse,理由、藉口,,,,,,
linguistic uses,expressive uses,boast,誇耀,,,,,,
linguistic uses,expressive uses,lament,輓歌、哀悼,,,,,,
linguistic uses,expressive uses,praise,讚美、稱讚、讚賞,,,,,,
mental uses,conceptual uses,idea,觀念、理念、想法、構想、點子、念頭,,,,,,
mental uses,conceptual uses,point,觀點、論點、想法、意見,,,,,,
mental uses,conceptual uses,issue,問題、議題,,,,,,
mental uses,conceptual uses,position,位置、處境、地位、立場,,,,,,
mental uses,conceptual uses,theory,理論（上）、說法,理論、説,teorie,The old theory that you can tell a woman’s true age by looking at her hands. (p.188) ,女性の手を見ることで、女性の本当の年齢を知ることができるという古い説。,"Stará teorie, podle které můžete zjistit skutečný věk ženy pohledem na její ruce. (str. 188) ",舊時的說法是人們可以從女性的手看出他們的年齡。
mental uses,conceptual uses,thought,思想、想法,考え、思想,myšlenka,The old thought that that man Charles will one day be king. (p.188),あのチャールズという男は、いつか王になるだろうという古い考え。,"Stará myšlenka, že ten muž Charles jednou bude králem. (str. 188) ",早期的想法是Charles那個男人有一天會成為國王。
mental uses,conceptual uses,notion,觀念、概念,,,,,,
mental uses,conceptual uses,principle,原理、原則、準則,,,,,,
mental uses,conceptual uses,rule,規則、法則,,,,,,
mental uses,conceptual uses,subject,主題、話題,,,,,,
mental uses,conceptual uses,image,形象、印象,,,,,,
mental uses,conceptual uses,myth,神話,,,,,,
mental uses,conceptual uses,law,法律、法,,,,,,
mental uses,conceptual uses,theme,主題、題目,,,,,,
mental uses,conceptual uses,concept,觀念、概念,概念,konceptem,Salt made the crucial distinction between the Victorian philanthropic notion of animal welfare and the concept of animal rights. (p.191),ソルトは、ヴィクトリア朝時代における動物愛護の人道的な概念と動物権利の概念との間の重要な区別をした。,Salt provedl zásadní rozlišení mezi viktoriánskou filantropickou představou o dobrých životních podmínkách zvířat a konceptem práv zvířat. (str.191),Salt在維多利亞時代的動物福利慈善說法和動物權利的概念之間做出了重要的區分。
mental uses,conceptual uses,secaret,秘密、訣竅,,,,,,
mental uses,conceptual uses,scenario,場景、設想,,,,,,
mental uses,conceptual uses,wisdom,智慧,,,,,,
mental uses,conceptual uses,thesis,論題、論點、命題,,,,,,
mental uses,conceptual uses,logic,邏輯,,,,,,
mental uses,conceptual uses,topic,主題、題目,,,,,,
mental uses,conceptual uses,doctrine,信條、教義,,,,,,
mental uses,conceptual uses,teaching,學說、教義、主義,,,,,,
mental uses,conceptual uses,maxim,格言、基本原理,,,,,,
mental uses,conceptual uses,stereotype,刻板印象,,,,,,
mental uses,conceptual uses,rationale,基本原理,,,,,,
mental uses,conceptual uses,metaphor,隱喻,,,,,,
mental uses,conceptual uses,axiom,公理、原則,,,,,,
mental uses,conceptual uses,dogma,教義、教條,,,,,,
mental uses,conceptual uses,credo,信念、教義,,,,,,
mental uses,conceptual uses,motto,座右銘,,,,,,
mental uses,conceptual uses,precept,規矩、準則,,,,,,
mental uses,conceptual uses,hypothesis,假設、假說,,,,,,
mental uses,conceptual uses,question,問題、題目,,,,,,
mental uses,conceptual uses,mystery,神秘、奧秘、迷,謎,záhadu,...and the even more controversial chat between Prince Charles and Mrs Camilla Parker Bowles. The two set abbot probing the origin of the tapes hoping that they would unravel the intriguing mystery of who had bugged the royal couple and why. (p.195)   ,また、チャールズ皇太子とカミラ・パーカー・ボウルズ夫人の会話も話題になった。二人は、誰が、なぜ、王室を盗聴したのかという興味深い謎を解き明かすために、テープの出所を調べることにした," ... a ještě kontroverznější rozhovor mezi princem Charlesem a paní Camillou Parker Bowlesovou. Ti dva se rozhodli zkoumal původ kazet, a doufali, že odhalí zajímavou záhadu, kdo a proč odposlouchával královský pár. (str. 195)",……甚至還有查爾斯王子和卡米拉·帕克·鮑爾斯夫人之間更具爭議性的談話。兩人被安排調查錄音帶的來源，希望他們能解開是誰竊聽了這對皇室夫婦以及其原因的這項有趣的謎。 
mental uses,conceptual uses,puzzle,難題、謎,,,,,,
mental uses,conceptual uses,enigma,困惑,,,,,,
mental uses,conceptual uses,unknown,未知、陌生,未知数、謎,neznáma,How long will they stay? That is the great unknown. (p.194),彼らはどれくらい滞在するのか？それは大きな未知数である。, Jak dlouho tam zůstanou? To je velká neznáma. (str.194) ,他們會待多久？這是個龐大的未知。
mental uses,conceptual uses,conundrum,難題,,,,,,
mental uses,creditive uses,belief,信仰、信念、相信、信,信念、信じている,názoru,I do hope the Conservatives’ Cheltenham candidate John Taylor is wrong in his belief that fellow Tories celebrated his General Election defeat because he was black. (p.199),保守党のチェルトナム候補、ジョン・テイラー氏は、仲間の党員が彼が黒人であるがゆえに、総選挙での敗北を祝ったと信じていることが間違いであると願っている。,"Doufám, že kandidát  konzervativců v Cheltenhamu John Taylor se mýlí ve svém názoru, že jeho Tory kolegové oslavovali jeho porážku ve všeobecných volbách, protože byl černoch. (str. 199) ",John Taylor相信，保守黨黨員因為他是黑人，而慶祝他在大選中失敗。我真希望這是John Taylor的誤信
mental uses,creditive uses,idea,觀念、理念、想法、構想、點子、念頭,,,,,,
mental uses,creditive uses,hope, 希望、期望、期待、盼望、期許、寄望,,,,,,
mental uses,creditive uses,impression,印象、感想、想法,印象,dojem,The impression that events are fast slipping from their control is confirmed by an order from the Ministry of Defence authorizing the withdrawal of all military units from the streets of Moscow. (p.197) ,国防省がモスクワの街からすべての軍部隊を撤退させるという命令を出したことで、事態が急速にコントロールできなくなっているという印象を受けた。,"Dojem, že se události rychle dostávají z jejich kontroly, potvrzuje příkaz ministerstva obrany povolující stažení všech vojenských jednotek z ulic Moskvy. (str. 197)",國防部下令允許所有軍事單位撤出莫斯科街頭的舉動，證實了事態正在迅速失去控制的想法。
mental uses,creditive uses,speculation,推測、猜測、推斷,憶測、推測,tom,"One of the UN officials, Mr Giandomenico Picco, is now in the Syrian capital, Damascus. There is speculation that he may meet representatives there of Islamic Jihad as well as the visiting Iranian Interior Minister, Mr Abdallah Nouri. (p.196) ",国連職員の一人であるジャンドメニコピコ氏は現在、シリアの首都ダマスカスにいる。 彼はそこでイスラム聖戦の代表者や訪問中のイラン内務大臣アブダラ・ノウリ氏に会うかもしれないという憶測がある。," Jeden z úředníků OSN, pan Giandomenico Picco, je nyní v syrském hlavním městě Damašku. Spekuluje se o tom, že se tam může setkat s představiteli islámského džihádu i s íránským ministrem vnitra Abdalláhem Nourim, který je tam na návtštěvě. (str.196) ",聯合國官員之一的吉安多明尼科・皮科先生現在在敘利亞的首都大馬士革。有人猜測他可能會見伊斯蘭聖戰組織的代表以及來訪的伊朗內政部長阿布達拉・努里先生。 
mental uses,creditive uses,knowledge,知識、認知,知識、見解,vědomím,At any of Lord McAlpine’s five clubs [...] members can speak up for absent friends like Mr Botnar or Mr Asil Nadir in the comfortable knowledge that their views have been spoken out loud by a former treasurer of the Tory party on the Breakfast With Frost pregame. (p.197),マカルパイン卿が経営する5つのクラブでは、会員はボトナー氏やアシル・ナディール氏のような不在の友人のために発言することができ、彼らの意見がすでに「フロストと朝食を」という前座番組でトーリー党の元財務大臣によって大声で語られているという心地よい見解である。,"V kterémkoli z pěti klubů lorda McAlpinea [...] mohou členové hovořit za nepřítomné přátele, jako jsou pan Botnar nebo pan Asil Nadir s vědomím, že jejich názory nahlas vyslovil bývalý pokladník konzervativní strany během programu ""Snídaně se Frostem"". (str. 197) ",在任何一個McAlpine勳爵的五個俱樂部中 [...] 成員都可以替缺席的朋友發聲，像是替Botnar 先生或是Asil Nadir 先生，因為他們知道，他們的觀點已經被保守黨財務長在「弗羅斯特早餐時間」的節目中大肆宣揚。
mental uses,creditive uses,assumption,假定、假設,仮説、思い込み,předpokladu,"Implicit in Foucault’s work is an attack on the centrality of labour in emancipatory politics. His thought processed from the assumption that the working class, through its place in the process of production, is not the vanguard of social change. (p.137)",フーコーの作品には、解放的な政治における労働の中心性に対する攻撃が暗黙のうちに含まれている。彼の思想は、労働者階級は生産過程に位置することで、社会変革の前衛ではないという思い込みから生まれたものである。,"Foucaultova práce implicitně zahrnuje útok na ústřední postavení práce v emancipační politice. Jeho myšlenka byla zpracována z předpokladu, že dělnická třída prostřednictvím svého místa ve výrobním procesu není předvojem společenských změn. (str.137)",傅柯的著作含蓄地批評解放政治中勞工扮演的核心地位。他的思想來自於這樣的假設：勞工階級透過他們在生產過程中扮演的身份地位，並不能帶領社會產生變革。
mental uses,creditive uses,confidence,自信、信心,,,,,,
mental uses,creditive uses,conviction,深信、確信,,,,,,
mental uses,creditive uses,suspicion,懷疑、猜想,,,,,,
mental uses,creditive uses,understanding,理解、領悟、了解,,,,,,
mental uses,creditive uses,prospect,可能、設想,,,,,,
mental uses,creditive uses,expectation,期盼、盼望、希望,期待,,My own expectation is that the legitimate government of Kuwait will be re-established in the next six months and that the present government of Iraq will probably fall as a consequence. (p.198) ,私自身の期待は、今後6ヶ月以内にクウェートの合法的な政府が再建され、その結果、イラクの現政府は崩壊するだろうということである。,"Očekávám, že v příštích šesti měsících bude znovu nastolena legitimní vláda Kuvajtu a že v důsledku toho pravděpodobně padne současná vláda Iráku. (str. 198)",我期盼科威特能在未來六個月內重新成立一個合法政府，然後伊拉克現任政府可以因此而垮台。
mental uses,creditive uses,instinct,直覺、本能,,,,,,
mental uses,creditive uses,premise,前提,,,,,,
mental uses,creditive uses,estimate,估計、估算,,,,,,
mental uses,creditive uses,presumption,推定、推測,,,,,,
mental uses,creditive uses,calculation,計算,,,,,,
mental uses,creditive uses,hunch,直覺、預感,,,,,,
mental uses,creditive uses,supposition,推測、猜測,,,,,,
mental uses,creditive uses,intuition,直覺,,,,,,
mental uses,creditive uses,inkling,略知,,,,,,
mental uses,creditive uses,superstition,迷信,,,,,,
mental uses,creditive uses,conjecture,推測、猜測、推斷,,,,,,
mental uses,creditive uses,presupposition,推定、推測,,,,,,
mental uses,creditive uses,surmise,推測、猜測,,,,,,
mental uses,creditive uses,feeling,感覺、感情、情感,感覚、実感,,"...said: ‘’ Radiologists and dentists did not seem to carry any increased risk. Those who worked with nuclear materials, scientists and nuclear technicians, who would have suffered internal contamination, were at risk. My own feeling is that alpha emitters, like plutonium, are going to prove an important pathway through fathers to their unborn children.’’ (p. 202)",放射線科医や歯科医は、リスクが高まっていないようだった。しかし、核物質を扱う仕事をしていた科学者や核技術者は、内部被曝のリスクがあったと思われる。私自身の感覚では、プルトニウムのようなアルファ線放出核種は、父親から生まれてくる子供への重要な経路になるだろうと思っている。,"... řekl: „Zdá se, že radiologové a zubaři nejsou více ohroženi. Ti, kteří pracovali s jadernými materiály, vědci a jaderní technici, kteří by prodělali vnitřní kontaminaci, byli ohroženi. Já si osobně myslím, že alfa emitory, jako je plutonium, dokáží důležité spojení mezi otci k jejich nenarozeným dětem. ““ (Str. 202)",.....說：「放射科醫生和牙醫似乎沒有增加任何風險。那些與核材料工作的人、科學家和核能技術人員，可能會遭受內部污染的這些人，才處於危險之中。我的感覺是像是钚這樣的α射線，將會透過如同爸爸與未出生的孩子這樣的關係，來證明一條新的重要路徑。
